"Station"	"Season"	"MT5"	"MT95"	"MTX5"	"MTX95"	"MTN5"	"MTN95"	"RRR5Y"	"FF5Y"
54012	"summer"	0.05	8.3	0	10.8	0	11.5	154.56	11.81
54012	"autumn"	0.05	18.7	0.1	17.21	0	20.18	29.21	12.63
54026	"winter"	0	8.6	0	9.6	0.1	12.39	292.09	8.06
54026	"spring"	0.05	15.68	0.1	16.11	0.1	17.68	205.94	9.67
54026	"summer"	0	7.4	0	7.2	0	11	202.56	7.69
54026	"autumn"	0.05	17.15	0.1	23.21	0.1	18.69	402.03	6.88
54027	"winter"	0.05	9.44	0.1	11.46	0.1	13.1	5.6	10.1
54027	"spring"	0.05	16.76	0.1	17.14	0	18.26	274.77	18.73
54027	"summer"	0	7.05	0	8.1	0	10	90.62	12.57
54027	"autumn"	0.05	19.91	0	17.3	0	20.79	28.6	10.83
54049	"winter"	0.05	11.45	0.1	12.7	0	13.24	11.23	8.77
54049	"spring"	0.05	15.61	0.1	16.38	0.08	16.62	84.45	10.14
54049	"summer"	0	6.45	0	7.2	0	9.5	158.54	8.02
54049	"autumn"	0.05	21.62	0	19.81	0	19.82	138.91	8.69
54094	"winter"	0.05	11.51	0.1	13.3	0	12.78	26.33	10.04
54094	"spring"	0.05	13.82	0.08	15.95	0.1	15.9	89.68	13.15
54094	"summer"	0	6.25	0	7.1	0	10.2	108.68	9.58
54094	"autumn"	0.05	25.03	0.06	23.64	0	22.49	146.52	9.46
54096	"winter"	0.05	12.02	0.1	12.76	0	14.26	59.36	14.76
54096	"spring"	0	13.68	0	14.95	0.1	15	197.87	13.49
54096	"summer"	0.05	6.3	0	8	0.1	9.5	93.43	12.12
54096	"autumn"	0.05	23.67	0	21.51	0.1	21.99	225.01	13.4
54102	"winter"	0.05	13.31	0.1	14.44	0	16.8	19.33	10.53
54102	"spring"	0.05	18.34	0.1	17.72	0.1	21.07	77.48	11.87
54102	"summer"	0.05	8.85	0	8.7	0	12.1	223.55	11.95
54102	"autumn"	0.05	18.46	0.1	17.68	0.1	20.87	47.17	8.37
54115	"winter"	0.05	10.7	0.1	12.8	0	14.17	8	9.16
54115	"spring"	0.05	15.96	0.1	18.4	0	20.96	82.25	13.78
54115	"summer"	0.05	7.05	0	8.4	0	10.6	220.96	7.73
54115	"autumn"	0.05	17.43	0	17.11	0	20.71	134.83	8.85
54135	"winter"	0.05	10.04	0.05	11.61	0	12.55	5.5	10.46
54135	"spring"	0.04	14.18	0	16.21	0	17.21	81	12.09
54135	"summer"	0	6.55	0	7.2	0	10.2	233.73	9.27
54135	"autumn"	0.05	20.25	0.1	19.18	0	20.33	210.85	10.35
54157	"winter"	0.05	13.04	0.1	15.6	0.1	13.69	17.6	9.23
54157	"spring"	0.05	13.97	0.1	16.23	0.1	15.16	103.76	12.23
54157	"summer"	0	6.1	0	7.5	0	8.1	165.43	7.43
54157	"autumn"	0.05	19.74	0	18.81	0	21.46	84.85	9.77
54161	"winter"	0.05	13.49	0.04	13.6	0.03	17	23.46	11.15
54161	"spring"	0.05	14.49	0.1	16.2	0.1	16.61	120.7	12.36
54161	"summer"	0	6.4	0	7.9	0	8.8	135.03	11.52
54161	"autumn"	0.05	15.97	0.1	18.81	0.1	17.2	201.96	10.3
54186	"winter"	0.05	12.29	0.1	15.1	0	14.37	48.72	7.78
54186	"spring"	0.05	14.96	0	16.43	0.1	15.28	138.92	7.5
54186	"summer"	0.05	5.96	0	7.3	0	9.7	164.28	5.85
54186	"autumn"	0.02	23.08	0	21.85	0.1	21.12	172.31	6.69
54208	"winter"	0.05	12.51	0.1	15.46	0	16.98	23.82	12.16
54208	"spring"	0.05	16.36	0.1	18.24	0.1	20.21	178.23	13.75
